run,metric_semantics,checkpoint,checkpoint_sha256,config_artifact,split,confidence,images,objects,precision,recall,mAP50,mAP50_95,detections,false_positives,false_negatives,false_positives_per_image,inference_ms_per_image,wall_ms_per_image
Z0,ultralytics_evaluator,yolo26n.pt,9b09cc8bf347f0fc8a5f7657480587f25db09b34bf33b0652110fb03a8ad4fef,reports/baseline_runs/baseline_20260714T180333Z/effective_config.json,val,0.001,1346,5427,0.8103777686332528,0.6410071213472727,0.7532099556181286,0.5180854082125381,,,,,2.8744734026741465,
Z0,project_runtime_threshold,yolo26n.pt,9b09cc8bf347f0fc8a5f7657480587f25db09b34bf33b0652110fb03a8ad4fef,reports/baseline_runs/baseline_20260714T180333Z/effective_config.json,val,0.35,1346,5427,0.8849607182940517,0.5811682329095265,,,3564,410,2273,0.30460624071322434,1.6778113670140162,7.211570950965441
A-smoke-best,ultralytics_evaluator,models/training_runs/baseline/baseline_20260714T180333Z/ultralytics/a_smoke/weights/best.pt,8748900b04ee71e800ae71e8ef1f2a6651989569bbd35055c8134fee1862518d,reports/baseline_runs/baseline_20260714T180333Z/effective_config.json,val-smoke-64,0.001,64,278,0.0028789782244556116,0.19784172661870503,0.003941982905242824,0.0009914083819306083,,,,,3.3430734374988447,
A-smoke-last,ultralytics_evaluator,models/training_runs/baseline/baseline_20260714T180333Z/ultralytics/a_smoke/weights/last.pt,a56feabe268429d5d39d8f4edacbe7eb122d735f05ffe388a601db4d24629989,reports/baseline_runs/baseline_20260714T180333Z/effective_config.json,val-smoke-64,0.001,64,278,0.0028789782244556116,0.19784172661870503,0.003941982905242824,0.0009914083819306083,,,,,4.639457812498193,
